Index	Year	Genre	Simile	Text	Comment
19	2024	Fantasy & Horror	as soon as he	Harry Potter was a happy eleven-year-old wizard who lived with two kind and supportive parents in Godric's Hollow because his parents hadn't been wimps and they had used the Killing Curse on Voldemort as soon as he stuck his big noseless face in their house.	False Positive
36	2024	Purple Prose	as salty as French	His burnt flesh sizzling like a burger on the grill, blood pouring from his wounds like an overshaken cola, and sweat as salty as French fries pouring down his face, John knew that after this mission was over, he was getting McDonald's for dinner.	Valid
37	2024	Purple Prose	as thick as pea	Stepping outside just after dawn, Chef Billingsworth was pleased to discover that for once the morning fog was not as thick as pea soup...	Valid
51	2024	Vile Puns	as slow as my	"My laddies may not be the fastest sugar cane harvesters," Fergus confessed, "but they're not as slow as my lasses..."	Valid
75	2023	Crime & Detective	as nakedly unconvincing as Mick	Under the skewering stare of DI Jack ‘Robin’ Redbreast, the culprit’s wits scattered like a patina of rain-startled spiders, leaving his fraught denials as nakedly unconvincing as Mick Jagger in a movie role.	Valid
78	2023	Dark & Stormy	as slow as a snail	Time was passing as slow as a snail on Valium as I waited on this dark and stormy night, for the taxi I called, that would probably never come to this wretched street where the waterfront serial killer had, in the past year, strangled nine women, two cats and a parrot, but that is another story.	Valid
94	2023	Historical Fiction	as far as sackings	Quintus Arias, along with many other Romans, came out of their hiding spots to observe the multitudinous bolts of burlap which festooned their city and glimpsed the tail end of the retreating Goths, concluding that as far as sackings go, this could have been a helluva lot worse.	False Positive
112	2023	Science Fiction	As soon as the scent	As soon as the scent of roasted meat—tender enough to fall right off the bone, with skin seared to a perfect crisp—hit my nose, I started to regret picking a fight with that guy holding the laser pistol and hoped my insurance would cover a new arm.	False Positive
129	2023	Odious Outliers	as if he was Peter Stormare feeding Steve Buscemi	Jonathon Emerick’s obsession with cinema meant he constantly lived his life mimicking the movies he studied, so on this Sunday he dramatically prepared a rich elaborate foodie meal like Jon Favreau in Chef, invited his friends to dine with abandon like Babette’s Feast, and of course after dinner, fed the leftovers purposefully and firmly into the disposal as if he was Peter Stormare feeding Steve Buscemi into a Fargo woodchipper.	Valid
142	2023	Odious Outliers	more powerful than her	As the old chamberlain, oblivious to the goings on within, delicately slammed the immense yet crude, indigenously carved sanctuary doors, Sir Reggie caused, forthwith, a rapture, here-to-fore unbeknownst to her lovely, albeit sedentary, loins, a quaking and upwelling of carnal release a hundred times more powerful than her usual proximal occasion of mortal sin, since taking the veil.	False Positive
147	2023	Odious Outliers	as though they knew exactly to whom she referred	The queen pretended the corgis could understand her when she spoke in code about the politicians in her day-to-day, as though they knew exactly to whom she referred when she spoke of the Fluffy One, the Rabbity One or the Stout-Angry-Moustached One, when in fact the corgis were hairy, drooly footstools who barely cared to hear her voice.	Valid
170	2022	Fantasy & Horror	more querulously than Jeff	In dreamlike Wyhotth, where musesang the vibrant lyssle-wing, the Brether-Clave of Amathoro had gathered at last for Sothenfeast; knurl and truthseller alike parleyed anxiously of the sure bequeathment of Voro-Denang, legendary Kalx of Vestramne, but none more querulously than Jeff, who had just come in from Buffalo and didn't know what the hell anything was supposed to be.	False Positive
180	2022	Purple Prose	as dark as an	The sky was as dark as an olive pit, which was either very dark or not very dark at all, depending on which type of olive you’re talking about.	Valid
222	2021	Crime & Detective	more clever than anyone	"Irony,” bombasted Inspector Simons, "is when someone believes themselves more clever than anyone else in the room, but in fact they are careless, and foolish, like the murderer— MATILDA DANNER—yes, Matilda, YOU killed—wait, um . . . where's Matilda?"	Valid
227	2021	Dark & Stormy	as disorienting and miasmic as the inside	It was a dark and stormy night, as disorienting and miasmic as the inside of the bag of an industrial strength vacuum cleaner with a shredded HEPA filter being dragged over a steel foundry floor.	Valid
247	2021	Science Fiction	as long as it	Believe it or not Ripley refrained from firing her laser at the alien creature lurking in the starship’s ceiling above the crew’s happy hour gathering, its dripping secretions burning through the titanium floor like it was made of cheap wet toilet paper, when she discovered by sheer accident that just one drop of the oozing substance reacted with the contents of her cocktail glass to produce a martini so perfect that 007 himself would have betrayed Queen and country for just one sip, as long as it was shaken and not stirred.	False Positive
299	2019	Purple Prose	as if I had accidentally swallowed my sub-lingual nicotinic	When the tall dark, handsome, buff, and wealthy cowboy moseyed into my "Blazin' Six-guns" novelty shop, I felt a wave of heat flood through me, as if I had accidentally swallowed my sub-lingual nicotinic acid lozenge, causing the niacin to be released instantaneously, rather than in a more controlled, extended, low-potency dose, for which means the prescription had been written.	Valid
325	2019	Western	as juicy as they	No-one served up a steak quite as juicy as they did in Mother McDougal’s, so when the check arrived, Luke Mahan, the meanest gunslinger in the state, peeled off three greenbacks from his wad, threw in a dime tip, and told the elderly waitress it was “Three ten to you, ma.”	Valid
332	2019	Odious Outliers	as blue as the summer	He sat on the tailgate of his truck, an old Ford Ranger as blue as the summer sky (although it was now winter), sucking on the ass end of his cigarette, taking puffs to the beat of his speakers as they blared an old Beetles tune, you know the one.	Valid
337	2019	Odious Outliers	as lovely as her	Standing at the altar, dressed in white, Lucy could not help but think of the suitors she had turned down—Jock, Dick, and Willy—all lovely men, but not as lovely as her ultimate choice, now standing proudly at her side, to whom the vicar turned and questioned, “Do you, John Thomas, take Lucy . . . ?”	Valid
346	2018	Grand Panjandrum'S Special Award	as soon as I, as long as I, as experienced as I	I knew that dame was trouble as soon as I set eyes on her, see: there was a stain on her clingy dress, wine, difficult to get out (you notice these things when you’ve been in the business as long as I have); there was a piece of gum stuck to the bottom of her high heel, cherry, that would leave a gristly pink trail following her every step (you pick up on these things when you are as experienced as I); and when she coolly asked me directions to the detective’s office, I pointed her down the hall and went back to mopping the floor.	False Positive
